,Sex,Survived,AgeGroup,PassengerClass,Count
636,male,Perished,20-40,Third,1
637,male,Perished,20-40,Second,1
638,female,Perished,40-60,Third,1
640,male,Perished,0-20,Third,1
641,female,Survived,20-40,First,1
642,female,Perished,0-20,Third,1
644,female,Survived,0-20,Third,1
645,male,Survived,40-60,First,1
646,male,Perished,0-20,Third,1
647,male,Survived,40-60,First,1
649,female,Survived,20-40,Third,1
651,female,Survived,0-20,Second,1
652,male,Perished,20-40,Third,1
654,female,Perished,0-20,Third,1
655,male,Perished,20-40,Second,1
657,female,Perished,20-40,Third,1
658,male,Perished,20-40,Second,1
659,male,Perished,40-60,First,1
660,male,Survived,40-60,First,1
661,male,Perished,20-40,Third,1
662,male,Perished,40-60,First,1
663,male,Perished,20-40,Third,1
664,male,Survived,0-20,Third,1
665,male,Perished,20-40,Second,1
666,male,Perished,20-40,Second,1
668,male,Perished,40-60,Third,1
670,female,Survived,20-40,Second,1
671,male,Perished,20-40,First,1
672,male,Perished,60+,Second,1
673,male,Survived,20-40,Second,1
675,male,Perished,0-20,Third,1
676,male,Perished,20-40,Third,1
677,female,Survived,0-20,Third,1
678,female,Perished,40-60,Third,1
679,male,Survived,20-40,First,1
681,male,Survived,20-40,First,1
682,male,Perished,0-20,Third,1
683,male,Perished,0-20,Third,1
684,male,Perished,40-60,Second,1
685,male,Perished,20-40,Second,1
686,male,Perished,0-20,Third,1
687,male,Perished,0-20,Third,1
688,male,Perished,0-20,Third,1
689,female,Survived,0-20,First,1
690,male,Survived,20-40,First,1
691,female,Survived,0-20,Third,1
693,male,Perished,20-40,Third,1
694,male,Perished,40-60,First,1
695,male,Perished,40-60,Second,1
696,male,Perished,40-60,Third,1
698,male,Perished,40-60,First,1
699,male,Perished,40-60,Third,1
700,female,Survived,0-20,First,1
701,male,Survived,20-40,First,1
702,female,Perished,0-20,Third,1
703,male,Perished,20-40,Third,1
704,male,Perished,20-40,Third,1
705,male,Perished,20-40,Second,1
706,female,Survived,40-60,Second,1
707,male,Survived,40-60,First,1
708,female,Survived,20-40,First,1
710,female,Survived,20-40,First,1
712,male,Survived,40-60,First,1
713,male,Perished,20-40,Third,1
714,male,Perished,40-60,Second,1
715,male,Perished,0-20,Third,1
716,female,Survived,20-40,First,1
717,female,Survived,20-40,Second,1
719,male,Perished,20-40,Third,1
720,female,Survived,0-20,Second,1
721,male,Perished,0-20,Third,1
722,male,Perished,20-40,Second,1
723,male,Perished,40-60,Second,1
724,male,Survived,20-40,First,1
725,male,Perished,0-20,Third,1
726,female,Survived,20-40,Second,1
728,male,Perished,20-40,Second,1
729,female,Perished,20-40,Third,1
730,female,Survived,20-40,First,1
731,male,Perished,0-20,Third,1
733,male,Perished,20-40,Second,1
734,male,Perished,20-40,Second,1
735,male,Perished,20-40,Third,1
736,female,Perished,40-60,Third,1
737,male,Survived,20-40,First,1
741,male,Perished,20-40,First,1
742,female,Survived,20-40,First,1
743,male,Perished,20-40,Third,1
744,male,Survived,20-40,Third,1
745,male,Perished,60+,First,1
746,male,Perished,0-20,Third,1
747,female,Survived,20-40,Second,1
748,male,Perished,0-20,First,1
749,male,Perished,20-40,Third,1
750,female,Survived,0-20,Second,1
751,male,Survived,0-20,Third,1
752,male,Perished,20-40,Third,1
753,male,Perished,20-40,Third,1
754,female,Survived,40-60,Second,1
755,male,Survived,0-20,Second,1
756,male,Perished,20-40,Third,1
757,male,Perished,0-20,Second,1
758,male,Perished,20-40,Third,1
759,female,Survived,20-40,First,1
761,male,Perished,40-60,Third,1
762,male,Survived,0-20,Third,1
763,female,Survived,20-40,First,1
764,male,Perished,0-20,Third,1
765,female,Survived,40-60,First,1
767,female,Perished,20-40,Third,1
769,male,Perished,20-40,Third,1
770,male,Perished,20-40,Third,1
771,male,Perished,40-60,Third,1
772,female,Perished,40-60,Second,1
774,female,Survived,40-60,Second,1
775,male,Perished,0-20,Third,1
777,female,Survived,0-20,Third,1
779,female,Survived,40-60,First,1
780,female,Survived,0-20,Third,1
781,female,Survived,0-20,First,1
782,male,Perished,20-40,First,1
784,male,Perished,20-40,Third,1
785,male,Perished,20-40,Third,1
786,female,Survived,0-20,Third,1
787,male,Perished,0-20,Third,1
788,male,Survived,0-20,Third,1
789,male,Perished,40-60,First,1
791,male,Perished,0-20,Second,1
794,male,Perished,20-40,Third,1
795,male,Perished,20-40,Second,1
796,female,Survived,40-60,First,1
797,female,Survived,20-40,Third,1
798,male,Perished,20-40,Third,1
799,female,Perished,20-40,Third,1
800,male,Perished,20-40,Second,1
801,female,Survived,20-40,Second,1
802,male,Survived,0-20,First,1
803,male,Survived,0-20,Third,1
804,male,Survived,20-40,Third,1
805,male,Perished,20-40,Third,1
806,male,Perished,20-40,First,1
807,female,Perished,0-20,Third,1
808,male,Perished,20-40,Second,1
809,female,Survived,20-40,First,1
810,male,Perished,20-40,Third,1
811,male,Perished,20-40,Third,1
812,male,Perished,20-40,Second,1
813,female,Perished,0-20,Third,1
814,male,Perished,20-40,Third,1
816,female,Perished,20-40,Third,1
817,male,Perished,20-40,Second,1
818,male,Perished,40-60,Third,1
819,male,Perished,0-20,Third,1
820,female,Survived,40-60,First,1
821,male,Survived,20-40,Third,1
822,male,Perished,20-40,First,1
823,female,Survived,20-40,Third,1
824,male,Perished,0-20,Third,1
827,male,Survived,0-20,Second,1
829,female,Survived,60+,First,1
830,female,Survived,0-20,Third,1
831,male,Survived,0-20,Second,1
833,male,Perished,20-40,Third,1
834,male,Perished,0-20,Third,1
835,female,Survived,20-40,First,1
836,male,Perished,20-40,Third,1
838,male,Survived,20-40,Third,1
840,male,Perished,0-20,Third,1
841,male,Perished,0-20,Second,1
842,female,Survived,20-40,First,1
843,male,Perished,20-40,Third,1
844,male,Perished,0-20,Third,1
845,male,Perished,40-60,Third,1
847,male,Perished,20-40,Third,1
848,male,Perished,20-40,Second,1
850,male,Perished,0-20,Third,1
851,male,Perished,60+,Third,1
852,female,Perished,0-20,Third,1
853,female,Survived,0-20,First,1
854,female,Perished,40-60,Second,1
855,female,Survived,0-20,Third,1
856,female,Survived,40-60,First,1
857,male,Survived,40-60,First,1
858,female,Survived,20-40,Third,1
860,male,Perished,40-60,Third,1
861,male,Perished,20-40,Second,1
862,female,Survived,40-60,First,1
864,male,Perished,20-40,Second,1
865,female,Survived,40-60,Second,1
866,female,Survived,20-40,Second,1
867,male,Perished,20-40,First,1
869,male,Survived,0-20,Third,1
870,male,Perished,20-40,Third,1
871,female,Survived,40-60,First,1
872,male,Perished,20-40,First,1
873,male,Perished,40-60,Third,1
874,female,Survived,20-40,Second,1
875,female,Survived,0-20,Third,1
876,male,Perished,0-20,Third,1
877,male,Perished,0-20,Third,1
879,female,Survived,40-60,First,1
880,female,Survived,20-40,Second,1
881,male,Perished,20-40,Third,1
882,female,Perished,20-40,Third,1
883,male,Perished,20-40,Second,1
884,male,Perished,20-40,Third,1
885,female,Perished,20-40,Third,1
886,male,Perished,20-40,Second,1
887,female,Survived,0-20,First,1
889,male,Survived,20-40,First,1
890,male,Perished,20-40,Third,1
